URG;Escola;Vacina;2022;2023;2024;2025;Total
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;INFLUENZA;0;8;20;37;65
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;COVID PFIZER;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;COVID COMINARTY INFANTIL;0;1;0;0;1
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;VARICELA;0;0;0;1;1
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;Q-DENGA;0;0;5;0;5
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;XBB;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;TETRAVIRAL;0;0;0;0;0
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ACWY;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;HPV - VÍRUS DO PAPILOMA HUMANO;0;36;0;16;52
URG I-CENTRO;E M DR RUBENS FALCAO;MENINGOCÓCICA ACWY;0;2;0;12;14
URG I-CENTRO;E M DR RUBENS FALCAO;FEBRE AMARELA;0;9;0;19;28
URG I-CENTRO;E M DR RUBENS FALCAO;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;MENINGOCÓCICA C;0;8;0;0;8
URG I-CENTRO;E M DR RUBENS FALCAO;DTP - TRÍPLICE BACTERIANA;0;5;0;4;9
URG I-CENTRO;E M DR RUBENS FALCAO;HEPATITE A;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;DT - DIFTERIA E TÉTANO;0;0;0;1;1
URG I-CENTRO;E M DR RUBENS FALCAO;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;VOP (ORAL) - POLIOMELITE;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;PENTA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;INFLUENZA;0;65;0;64;129
URG I-CENTRO;E M DR RUBENS FALCAO;COVID PFIZER;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;VARICELA;0;0;0;11;11
URG I-CENTRO;E M DR RUBENS FALCAO;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;Q-DENGA;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;XBB;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;TETRAVIRAL;0;0;0;0;0
URG I-CENTRO;E M DR RUBENS FALCAO;ACWY;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;HPV - VÍRUS DO PAPILOMA HUMANO;0;21;9;9;39
URG I-CENTRO;E M DR THIBAU;MENINGOCÓCICA ACWY;0;5;4;3;12
URG I-CENTRO;E M DR THIBAU;FEBRE AMARELA;0;5;6;2;13
URG I-CENTRO;E M DR THIBAU;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;DTP - TRÍPLICE BACTERIANA;0;1;5;2;8
URG I-CENTRO;E M DR THIBAU;HEPATITE A;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;DT - DIFTERIA E TÉTANO;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;VOP (ORAL) - POLIOMELITE;0;1;1;0;2
URG I-CENTRO;E M DR THIBAU;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;PENTA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;INFLUENZA;0;34;30;19;83
URG I-CENTRO;E M DR THIBAU;COVID PFIZER;0;0;1;0;1
URG I-CENTRO;E M DR THIBAU;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;COVID COMINARTY INFANTIL;0;3;0;0;3
URG I-CENTRO;E M DR THIBAU;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;VARICELA;0;0;0;1;1
URG I-CENTRO;E M DR THIBAU;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;Q-DENGA;0;0;12;0;12
URG I-CENTRO;E M DR THIBAU;XBB;0;0;0;0;0
URG I-CENTRO;E M DR THIBAU;TETRAVIRAL;0;0;2;0;2
URG I-CENTRO;E M DR THIBAU;ACWY;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;HPV - VÍRUS DO PAPILOMA HUMANO;0;45;23;13;81
URG I-CENTRO;E M ENGENHO PEQUENO;MENINGOCÓCICA ACWY;0;12;9;5;26
URG I-CENTRO;E M ENGENHO PEQUENO;FEBRE AMARELA;0;19;14;8;41
URG I-CENTRO;E M ENGENHO PEQUENO;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;DTP - TRÍPLICE BACTERIANA;0;5;0;4;9
URG I-CENTRO;E M ENGENHO PEQUENO;HEPATITE A;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;DT - DIFTERIA E TÉTANO;0;0;0;3;3
URG I-CENTRO;E M ENGENHO PEQUENO;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;1;0;1
URG I-CENTRO;E M ENGENHO PEQUENO;VOP (ORAL) - POLIOMELITE;0;1;0;0;1
URG I-CENTRO;E M ENGENHO PEQUENO;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;PENTA;0;0;1;0;1
URG I-CENTRO;E M ENGENHO PEQUENO;TRÍPLICE VIRAL;0;3;0;0;3
URG I-CENTRO;E M ENGENHO PEQUENO;INFLUENZA;0;70;64;42;176
URG I-CENTRO;E M ENGENHO PEQUENO;COVID PFIZER;0;2;0;0;2
URG I-CENTRO;E M ENGENHO PEQUENO;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;VARICELA;0;0;0;3;3
URG I-CENTRO;E M ENGENHO PEQUENO;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;Q-DENGA;0;0;29;0;29
URG I-CENTRO;E M ENGENHO PEQUENO;XBB;0;0;0;0;0
URG I-CENTRO;E M ENGENHO PEQUENO;TETRAVIRAL;0;0;4;0;4
URG I-CENTRO;E M ENGENHO PEQUENO;ACWY;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;HPV - VÍRUS DO PAPILOMA HUMANO;0;46;12;13;71
URG I-CENTRO;E M FRANCA CARVALHO;MENINGOCÓCICA ACWY;0;14;11;0;25
URG I-CENTRO;E M FRANCA CARVALHO;FEBRE AMARELA;0;16;6;9;31
URG I-CENTRO;E M FRANCA CARVALHO;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;DTP - TRÍPLICE BACTERIANA;0;12;0;2;14
URG I-CENTRO;E M FRANCA CARVALHO;HEPATITE A;0;0;1;0;1
URG I-CENTRO;E M FRANCA CARVALHO;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;DT - DIFTERIA E TÉTANO;0;0;0;2;2
URG I-CENTRO;E M FRANCA CARVALHO;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;1;0;1
URG I-CENTRO;E M FRANCA CARVALHO;VOP (ORAL) - POLIOMELITE;0;6;0;0;6
URG I-CENTRO;E M FRANCA CARVALHO;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;PENTA;0;0;3;0;3
URG I-CENTRO;E M FRANCA CARVALHO;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;INFLUENZA;0;55;41;58;154
URG I-CENTRO;E M FRANCA CARVALHO;COVID PFIZER;0;0;1;0;1
URG I-CENTRO;E M FRANCA CARVALHO;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;VARICELA;0;0;0;9;9
URG I-CENTRO;E M FRANCA CARVALHO;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;Q-DENGA;0;0;13;0;13
URG I-CENTRO;E M FRANCA CARVALHO;XBB;0;0;0;0;0
URG I-CENTRO;E M FRANCA CARVALHO;TETRAVIRAL;0;0;2;0;2
URG I-CENTRO;E M FRANCA CARVALHO;ACWY;0;0;0;3;3
URG I-CENTRO;E M HEITOR DANTAS;HPV - VÍRUS DO PAPILOMA HUMANO;0;20;10;9;39
URG I-CENTRO;E M HEITOR DANTAS;MENINGOCÓCICA ACWY;0;7;5;4;16
URG I-CENTRO;E M HEITOR DANTAS;FEBRE AMARELA;0;4;0;6;10
URG I-CENTRO;E M HEITOR DANTAS;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;DTP - TRÍPLICE BACTERIANA;0;0;0;1;1
URG I-CENTRO;E M HEITOR DANTAS;HEPATITE A;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;HEPATITE B;0;0;0;0;0
URG I-CENTRO;E M HEITOR DANTAS;DT - DIFTERIA E TÉTANO;0;0;0;1;1
