Ano;IdUrg;URG;Escola;Tipo;Nutricao;Qtd
2025;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EM;MAGREZA ACENTUADA;5
2025;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EM;NORMAL (EUTROFIA);173
2025;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EM;OBESIDADE;41
2025;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EM;SOBREPESO;43
2025;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EM;MAGREZA;38
2025;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EM;MAGREZA ACENTUADA;3
2025;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EM;NORMAL (EUTROFIA);300
2025;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EM;OBESIDADE;69
2025;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EM;SOBREPESO;67
2025;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EM;MAGREZA;17
2025;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EM;MAGREZA ACENTUADA;3
2025;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EM;NORMAL (EUTROFIA);134
2025;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EM;OBESIDADE;33
2025;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EM;SOBREPESO;25
2025;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EM;MAGREZA;9
2025;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EM;MAGREZA ACENTUADA;1
2025;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EM;NORMAL (EUTROFIA);103
2025;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EM;OBESIDADE;17
2025;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EM;SOBREPESO;12
2025;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EM;MAGREZA;1
2025;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EM;MAGREZA ACENTUADA;1
2025;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EM;NORMAL (EUTROFIA);65
2025;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EM;OBESIDADE;7
2025;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;EM;SOBREPESO;10
2025;1;URG I-CENTRO;E M PROF OSIRES NEVES;EM;MAGREZA;27
2025;1;URG I-CENTRO;E M PROF OSIRES NEVES;EM;MAGREZA ACENTUADA;5
2025;1;URG I-CENTRO;E M PROF OSIRES NEVES;EM;NORMAL (EUTROFIA);280
2025;1;URG I-CENTRO;E M PROF OSIRES NEVES;EM;OBESIDADE;47
2025;1;URG I-CENTRO;E M PROF OSIRES NEVES;EM;SOBREPESO;77
2025;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;MAGREZA;3
2025;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;NORMAL (EUTROFIA);83
2025;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;OBESIDADE;14
2025;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;SOBREPESO;19
2025;1;URG I-CENTRO;E M PROF RUY DE QUEIROZ;EM;MAGREZA;2
2025;1;URG I-CENTRO;E M PROF RUY DE QUEIROZ;EM;NORMAL (EUTROFIA);88
2025;1;URG I-CENTRO;E M PROF RUY DE QUEIROZ;EM;OBESIDADE;28
2025;1;URG I-CENTRO;E M PROF RUY DE QUEIROZ;EM;SOBREPESO;28
2025;1;URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;CRECHE;MAGREZA;1
2025;1;URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;CRECHE;NORMAL (EUTROFIA);16
2025;1;URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;CRECHE;OBESIDADE;10
2025;1;URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;CRECHE;SOBREPESO;11
2025;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;NORMAL (EUTROFIA);38
2025;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;OBESIDADE;6
2025;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;SOBREPESO;12
2025;1;URG I-CENTRO;EMEI SAO BENEDITO;CRECHE;MAGREZA;4
2025;1;URG I-CENTRO;EMEI SAO BENEDITO;CRECHE;MAGREZA ACENTUADA;1
2025;1;URG I-CENTRO;EMEI SAO BENEDITO;CRECHE;NORMAL (EUTROFIA);53
2025;1;URG I-CENTRO;EMEI SAO BENEDITO;CRECHE;OBESIDADE;6
2025;1;URG I-CENTRO;EMEI SAO BENEDITO;CRECHE;SOBREPESO;5
2025;1;URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;CONVENIADA;MAGREZA;3
2025;1;URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;CONVENIADA;MAGREZA ACENTUADA;1
2025;1;URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;CONVENIADA;NORMAL (EUTROFIA);99
2025;1;URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;CONVENIADA;OBESIDADE;28
2025;1;URG I-CENTRO;SOCIEDADE FILANTRÓPICA SÃO VICENTE PATRONATO;CONVENIADA;SOBREPESO;61
2025;3;URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;EM;MAGREZA;16
2025;3;URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;EM;MAGREZA ACENTUADA;34
2025;3;URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;EM;NORMAL (EUTROFIA);265
2025;3;URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;EM;OBESIDADE;57
2025;3;URG III-COMENDADOR SOARES;CIEP BRIZOLAO 071 MAXIMIANO RIBEIRO DA SILVA;EM;SOBREPESO;47
2025;3;URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;CONVENIADA;MAGREZA;2
2025;3;URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;CONVENIADA;NORMAL (EUTROFIA);11
2025;3;URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;CONVENIADA;OBESIDADE;6
2025;3;URG III-COMENDADOR SOARES;CRECHE DONA JOANA CASA DO MENOR SÃO MIUGUEL ARCANJO;CONVENIADA;SOBREPESO;19
2025;3;URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;CRECHE;MAGREZA;1
2025;3;URG III-COMENDADOR SOARES;CRECHE MUNICIPAL PROF MARIA IONE SALES DE OLIVEIRA;CRECHE;MAGREZA ACENTUADA;8
